sleeve,sym,dir,usd,t0,t1,mins,day,null,alpha
ES:flow,ES,1,5037.5,2026-07-30 09:25:00.874000-04:00,2026-07-31 16:00:00.883000-04:00,1835.00015,2026-07-31,,
ES:flow,ES,1,7012.5,2026-07-30 09:25:00.874000-04:00,2026-08-03 09:25:00.569000-04:00,5759.9949166666665,2026-08-03,,
ES:flow,ES,1,-150.0,2026-08-03 15:59:00-04:00,2026-08-03 15:59:58.526000-04:00,0.9754333333333334,2026-08-03,8.6875,-158.6875
ES:flow,ES,1,1462.5,2026-08-03 16:00:00.603000-04:00,2026-08-04 09:30:04.904000-04:00,1050.0716833333333,2026-08-04,,
ES:flow,ES,1,193.75,2026-08-04 09:32:00.300000-04:00,2026-08-04 09:56:36.866000-04:00,24.609433333333335,2026-08-04,376.625,-182.875
ES:flow,ES,1,2315.625,2026-08-04 09:32:00.300000-04:00,2026-08-05 15:04:50.807000-04:00,1772.8417833333333,2026-08-05,,
ES:flow,ES,1,1245.3125,2026-08-04 09:32:00.300000-04:00,2026-08-05 15:07:58.735000-04:00,1775.9739166666666,2026-08-05,,
ES:flow,ES,1,707.8125,2026-08-04 09:32:00.300000-04:00,2026-08-05 15:59:25.693000-04:00,1827.4232166666666,2026-08-05,,
ES:flow,ES,1,0.0,2026-08-05 15:59:26.209000-04:00,2026-08-05 15:59:26.751000-04:00,0.009033333333333334,2026-08-05,-11.96875,11.96875
ES:flow,ES,1,-1075.0,2026-08-05 15:59:59.911000-04:00,2026-08-06 12:16:02.452000-04:00,1216.04235,2026-08-06,,
ES:flow,ES,1,325.0,2026-08-06 12:18:02.530000-04:00,2026-08-06 15:59:59.987000-04:00,221.95761666666667,2026-08-06,-682.1875,1007.1875
ES:flow,ES,1,912.5,2026-08-06 16:00:00-04:00,2026-08-07 09:29:35.998000-04:00,1049.5999666666667,2026-08-07,,
ES:flow,ES,1,81.25,2026-08-07 09:30:01.909000-04:00,2026-08-07 09:34:22.688000-04:00,4.346316666666667,2026-08-07,18.03125,63.21875
ES:flow,ES,1,303.125,2026-08-07 09:30:01.909000-04:00,2026-08-07 10:22:43.805000-04:00,52.69826666666667,2026-08-07,132.5,170.625
ES:flow,ES,1,689.0625,2026-08-07 09:30:01.909000-04:00,2026-08-07 11:29:46.960000-04:00,119.75085,2026-08-07,0.8125,688.25
ES:flow,ES,1,-36.71875,2026-08-07 09:30:01.909000-04:00,2026-08-07 15:03:10.909000-04:00,333.15,2026-08-07,835.59375,-872.3125
ES:flow,ES,1,187.890625,2026-08-07 09:30:01.909000-04:00,2026-08-07 15:13:00.725000-04:00,342.98026666666664,2026-08-07,910.8437500000001,-722.9531250000001
ES:flow,ES,1,175.1953125,2026-08-07 09:30:01.909000-04:00,2026-08-07 15:59:38.089000-04:00,389.603,2026-08-07,,
ES:flow,ES,1,62.59765625,2026-08-07 09:30:01.909000-04:00,2026-08-07 16:00:00.959000-04:00,389.9841666666667,2026-08-07,,
ES:flow,ES,1,137.548828125,2026-08-07 09:30:01.909000-04:00,2026-08-10 09:32:31.701000-04:00,4322.496533333333,2026-08-10,,
ES:flow,ES,1,-149.951171875,2026-08-07 09:30:01.909000-04:00,2026-08-10 09:52:40.362000-04:00,4342.6408833333335,2026-08-10,,
ES:flow,ES,1,-675.0,2026-08-10 09:55:11.595000-04:00,2026-08-10 12:31:59.961000-04:00,156.8061,2026-08-10,-295.53125,-379.46875
ES:flow,ES,1,112.5,2026-08-10 12:33:59.983000-04:00,2026-08-10 15:20:01.687000-04:00,166.0284,2026-08-10,-364.125,476.625
ES:flow,ES,1,-175.0,2026-08-10 12:33:59.983000-04:00,2026-08-10 15:50:31.548000-04:00,196.52608333333333,2026-08-10,-404.875,229.875
ES:flow,ES,1,62.5,2026-08-10 15:52:54.993000-04:00,2026-08-10 15:59:05.217000-04:00,6.1704,2026-08-10,-6.90625,69.40625
ES:flow,ES,1,187.5,2026-08-10 15:52:54.993000-04:00,2026-08-10 16:00:00.332000-04:00,7.088983333333333,2026-08-10,-1.28125,188.78125
ES:flow,ES,1,-575.0,2026-08-10 15:52:54.993000-04:00,2026-08-11 12:24:55.569000-04:00,1232.0096,2026-08-11,,
ES:flow,ES,1,-268.75,2026-08-11 12:27:26.693000-04:00,2026-08-11 14:06:30.352000-04:00,99.06098333333333,2026-08-11,-534.75,266.0
ES:flow,ES,1,828.125,2026-08-11 12:27:26.693000-04:00,2026-08-12 09:21:46.927000-04:00,1254.3372333333332,2026-08-12,,
ES:flow,ES,1,-517.1875,2026-08-11 12:27:26.693000-04:00,2026-08-12 13:13:27.628000-04:00,1486.0155833333333,2026-08-12,,
ES:flow,ES,1,-121.09375,2026-08-11 12:27:26.693000-04:00,2026-08-12 14:57:22.503000-04:00,1589.9301666666665,2026-08-12,,
ES:flow,ES,1,-460.546875,2026-08-11 12:27:26.693000-04:00,2026-08-12 15:51:17.528000-04:00,1643.84725,2026-08-12,,
ES:flow,ES,1,-217.7734375,2026-08-11 12:27:26.693000-04:00,2026-08-13 07:32:04.533000-04:00,2584.6306666666665,2026-08-13,,
ES:flow,ES,1,1522.36328125,2026-08-11 12:27:26.693000-04:00,2026-08-13 10:27:37.514000-04:00,2760.18035,2026-08-13,,
ES:flow,ES,1,272.36328125,2026-08-11 12:27:26.693000-04:00,2026-08-13 12:45:32.749000-04:00,2898.1009333333336,2026-08-13,,
ES:flow,ES,1,312.5,2026-08-13 12:47:32.523000-04:00,2026-08-13 14:45:42.467000-04:00,118.16573333333334,2026-08-13,-21.75,334.25
ES:flow,ES,1,337.5,2026-08-13 12:47:32.523000-04:00,2026-08-13 14:52:00.657000-04:00,124.4689,2026-08-13,0.84375,336.65625
ES:flow,ES,1,-31.25,2026-08-13 14:53:55.673000-04:00,2026-08-13 15:59:54.366000-04:00,65.97821666666667,2026-08-13,7.9375,-39.1875
ES:flow,ES,1,-9.375,2026-08-13 14:53:55.673000-04:00,2026-08-13 16:00:00.628000-04:00,66.08258333333333,2026-08-13,-10.4375,1.0625
ES:flow,ES,1,-496.875,2026-08-13 14:53:55.673000-04:00,2026-08-14 10:31:28.372000-04:00,1177.5449833333332,2026-08-14,,
ES:flow,ES,1,-87.5,2026-08-14 10:33:27.475000-04:00,2026-08-14 12:25:03.259000-04:00,111.59639999999999,2026-08-14,-268.65625,181.15625
ES:flow,ES,1,-662.5,2026-08-14 10:33:27.475000-04:00,2026-08-14 13:38:21.782000-04:00,184.9051166666667,2026-08-14,-468.65625,-193.84375
ES:flow,ES,1,387.5,2026-08-14 13:40:25.978000-04:00,2026-08-14 15:59:49.988000-04:00,139.40016666666668,2026-08-14,-338.34375,725.84375
ES:flow,ES,1,0.0,2026-08-14 15:59:50.467000-04:00,2026-08-14 15:59:50.467000-04:00,0.0,2026-08-14,,
ES:flow,ES,1,-418.75,2026-08-14 16:00:00.848000-04:00,2026-08-17 10:03:26.810000-04:00,3963.4327,2026-08-17,,
ES:flow,ES,1,-256.25,2026-08-14 16:00:00.848000-04:00,2026-08-17 11:32:53.417000-04:00,4052.8761499999996,2026-08-17,,
ES:flow,ES,1,-3375.0,2026-08-17 11:52:13.457000-04:00,2026-08-18 09:25:00.644000-04:00,1292.78645,2026-08-18,,
