night,month,hr,dir,extent,dur_min,vol,aligned_aggr,cpp,wdx,gap_share,start_px,start_tags,end_tags
2025-02-18,2025-02,0,-1,2.25,22.5,1754,0.08,780.0,0.78,0.0,6141.25,"VWAP,VW2s,VW-2s,VW3s,VW-3s,ONH,ONL","VW-2s,VW-3s,ONL"
2025-02-18,2025-02,0,1,18.0,405.4,27297,0.11,1516.0,0.74,0.0,6139.0,"VW-2s,VW-3s,ONL","VW3s,ONH"
2025-02-18,2025-02,7,-1,12.25,175.6,28606,0.02,2335.0,0.8,0.0,6157.0,"VW3s,ONH",-
2025-02-19,2025-02,21,-1,5.0,50.6,57380,0.03,11476.0,0.71,0.0,6148.5,"pdC,VWAP,VW2s,VW-2s,VW3s,VW-3s,ONH,ONL","VW-2s,VW-3s,ONL"
2025-02-19,2025-02,21,1,13.25,304.1,25011,0.05,1888.0,0.75,0.0,6143.5,"VW-2s,VW-3s,ONL","pdH,VW3s,ONH"
2025-02-19,2025-02,2,-1,21.75,533.1,58269,0.04,2679.0,0.77,0.0,6156.75,"pdH,VW3s,ONH","VW-3s,ONL"
2025-02-20,2025-02,21,1,0.0,0.0,5423,-0.02,21692.0,0.76,0.0,6161.5,"pdC,VWAP,VW2s,VW-2s,VW3s,VW-3s,ONH,ONL","pdC,VWAP,VW2s,VW-2s,VW3s,VW-3s,ONH,ONL"
2025-02-20,2025-02,21,-1,19.75,565.2,76926,0.05,3895.0,0.79,0.0,6161.5,"pdC,VWAP,VW2s,VW-2s,VW3s,VW-3s,ONH,ONL","VW-2s,ONL"
2025-02-20,2025-02,6,1,13.0,223.4,27714,0.02,2132.0,0.79,0.0,6141.75,"VW-2s,ONL",dP
2025-02-21,2025-02,21,-1,6.75,15.0,31705,0.08,4697.0,0.77,0.0,6137.0,"pdC,VWAP,VW2s,VW-2s,VW3s,VW-3s,ONH,ONL","dP,VW-3s,ONL"
2025-02-21,2025-02,21,1,9.5,146.8,14726,0.08,1550.0,0.76,0.0,6130.25,"dP,VW-3s,ONL","VW2s,VW3s,ONH"
2025-02-21,2025-02,23,-1,11.5,325.7,20850,0.01,1813.0,0.81,0.0,6139.75,"VW2s,VW3s,ONH","dP,VW-3s,ONL"
2025-02-21,2025-02,5,1,9.0,138.7,9862,0.11,1096.0,0.73,0.0,6128.25,"dP,VW-3s,ONL","pdC,VW2s"
2025-02-21,2025-02,7,-1,9.75,49.1,8319,0.12,853.0,0.8,0.0,6137.25,"pdC,VW2s","VW-3s,ONL"
2025-02-24,2025-02,23,-1,8.5,2.7,4692,0.15,552.0,0.67,0.0,6042.5,"VWAP,VW2s,VW-2s,VW3s,VW-3s,ONH,ONL","VW-2s,ONL"
2025-02-24,2025-02,23,1,25.0,81.8,25919,0.07,1037.0,0.74,0.0,6034.0,"VW-2s,ONL","VW2s,ONH"
2025-02-24,2025-02,0,-1,11.5,66.3,14132,0.05,1229.0,0.8,0.0,6059.0,"VW2s,ONH",VWAP
2025-02-24,2025-02,1,1,16.0,298.0,28024,0.06,1752.0,0.77,0.0,6047.5,VWAP,"VW2s,ONH"
2025-02-24,2025-02,6,-1,21.75,107.7,25195,0.13,1158.0,0.8,0.0,6063.5,"VW2s,ONH",VW-2s
2025-02-24,2025-02,8,1,25.75,67.7,30852,0.04,1198.0,0.81,0.0,6041.75,VW-2s,"dP,VW2s,ONH"
2025-02-25,2025-02,21,-1,2.5,1.6,20504,0.08,8202.0,0.75,0.0,6001.75,"pdC,VWAP,VW2s,VW-2s,VW3s,VW-3s,ONH,ONL","VW-2s,VW-3s,ONL"
2025-02-25,2025-02,21,1,10.25,13.0,24830,0.04,2422.0,0.74,0.0,5999.25,"VW-2s,VW-3s,ONL","VW3s,ONH"
2025-02-25,2025-02,21,-1,14.25,160.3,26345,0.07,1849.0,0.76,0.0,6009.5,"VW3s,ONH","pdL,VW-3s,ONL"
2025-02-25,2025-02,23,1,20.0,129.2,35056,0.07,1753.0,0.77,0.0,5995.25,"pdL,VW-3s,ONL","VW3s,ONH"
2025-02-25,2025-02,2,-1,8.75,19.8,3871,0.16,442.0,0.73,0.0,6015.25,"VW3s,ONH",VWAP
2025-02-25,2025-02,2,1,9.25,40.4,6318,0.02,683.0,0.81,0.0,6006.5,VWAP,ONH
2025-02-25,2025-02,3,-1,33.5,295.6,42087,0.03,1256.0,0.79,0.0,6015.75,ONH,"wS1,ONL"
2025-02-25,2025-02,7,1,22.5,13.4,11622,0.17,517.0,0.8,0.0,5982.25,"wS1,ONL",VWAP
2025-02-25,2025-02,8,-1,20.5,46.9,18070,0.07,881.0,0.83,0.0,6004.75,VWAP,ONL
2025-02-25,2025-02,9,1,15.0,13.8,6681,-0.03,445.0,0.88,0.0,5984.25,ONL,-
2025-02-25,2025-02,9,-1,19.75,45.6,18212,0.09,922.0,0.83,0.0,5999.25,-,"wS1,ONL"
2025-02-25,2025-02,9,1,10.0,17.9,6558,0.1,656.0,0.82,0.0,5979.5,"wS1,ONL",-
2025-02-25,2025-02,10,-1,11.25,42.8,12859,0.06,1143.0,0.81,0.0,5989.5,-,"dS1,ONL"
2025-02-25,2025-02,11,1,25.0,86.5,31428,0.08,1257.0,0.82,0.0,5978.25,"dS1,ONL",pdC
2025-02-25,2025-02,12,-1,9.0,21.6,8596,-0.0,955.0,0.82,0.0,6003.25,pdC,pdL
2025-02-26,2025-02,21,-1,3.0,0.2,13244,0.02,4415.0,0.73,0.0,5972.5,"pdC,VWAP,VW2s,VW-2s,VW3s,VW-3s,ONH,ONL","dP,pdC,VWAP,VW-2s,VW-3s,ONL"
2025-02-26,2025-02,21,1,19.5,240.4,54824,0.0,2811.0,0.78,0.0,5969.5,"dP,pdC,VWAP,VW-2s,VW-3s,ONL","VW2s,ONH"
2025-02-26,2025-02,1,-1,11.0,68.9,8059,0.08,733.0,0.78,0.0,5989.0,"VW2s,ONH",VWAP
2025-02-26,2025-02,2,1,25.25,548.2,83363,0.14,3302.0,0.76,0.0,5978.0,VWAP,"VW2s,ONH"
2025-02-27,2025-02,21,1,5.5,0.1,11464,0.09,2084.0,0.7,0.0,5974.0,"pdC,VWAP,VW2s,VW-2s,VW3s,VW-3s,ONH,ONL","dP,wS1,VW2s,VW3s,ONH"
2025-02-27,2025-02,21,-1,11.5,2.2,12706,0.15,1105.0,0.75,0.0,5979.5,"dP,wS1,VW2s,VW3s,ONH","VW-3s,ONL"
2025-02-27,2025-02,21,1,14.25,17.7,17722,0.05,1244.0,0.84,0.0,5968.0,"VW-3s,ONL","dP,wS1,VW2s,VW3s,ONH"
2025-02-27,2025-02,21,-1,29.75,0.2,2652,0.19,89.0,0.8,0.0,5982.25,"dP,wS1,VW2s,VW3s,ONH",ONL
