day,sym,kind,at,rng,v_in,v_in30,pre_rng,coil,marginal,conv,v_hi,dwell,v_out,give30
2025-02-18,ESH5,BOTTOM,848,28.25,0.85,0.25,5.0,1.7,6.0,0.005,7.19,20,0.18,-3.75
2025-02-19,ESH5,TOP,891,35.75,0.25,0.08,12.75,0.2,1.5,0.376,3.26,38,-0.18,-5.25
2025-02-21,ESH5,BOTTOM,882,103.25,0.75,0.73,22.25,0.34,3.0,0.012,1.19,41,-1.0,-7.75
2025-02-25,ESH5,BOTTOM,693,80.25,1.55,0.47,19.0,0.82,8.5,0.04,1.55,17,-0.85,-30.5
2025-02-26,ESH5,TOP,674,76.5,0.45,0.22,12.25,0.37,0.25,0.143,0.61,40,-0.28,-5.5
2025-02-26,ESH5,BOTTOM,848,76.5,0.48,0.72,22.5,0.21,0.0,0.122,1.35,32,-0.72,-18.75
2025-02-28,ESH5,BOTTOM,801,118.25,1.2,0.7,28.5,0.42,11.25,0.096,1.74,27,-2.42,-33.25
2025-03-04,ESH5,TOP,924,126.25,1.75,0.99,16.0,1.09,16.25,0.108,1.0,19,-4.18,-85.75
2025-03-04,ESH5,BOTTOM,622,126.25,1.98,1.46,48.25,0.41,11.0,0.063,2.14,23,-2.38,-10.75
2025-03-05,ESH5,TOP,909,116.5,1.6,0.55,17.0,0.94,5.0,0.136,0.64,38,-1.42,-12.5
2025-03-05,ESH5,BOTTOM,706,116.5,0.68,0.4,25.25,0.27,1.75,0.04,0.81,31,-0.88,-34.25
2025-03-06,ESH5,TOP,671,98.0,0.92,0.09,22.75,0.41,1.0,0.054,0.89,29,-1.92,-31.0
2025-03-06,ESH5,BOTTOM,869,98.0,0.3,0.49,16.5,0.18,0.5,0.054,0.91,33,-0.2,-3.75
2025-03-07,ESH5,BOTTOM,713,114.5,0.95,1.06,38.0,0.25,7.75,0.036,1.02,35,-2.45,-13.25
2025-03-10,ESH5,BOTTOM,911,132.25,1.35,0.91,31.75,0.43,13.25,0.004,1.37,20,-2.95,-48.75
2025-03-11,ESH5,TOP,894,101.25,1.42,1.23,35.25,0.4,15.5,0.037,1.78,27,-1.3,-34.0
2025-03-11,ESH5,BOTTOM,803,101.25,1.38,0.68,23.75,0.58,10.5,0.216,1.52,37,-0.5,-21.75
2025-03-12,ESH5,BOTTOM,668,86.0,1.7,1.06,35.0,0.49,16.75,0.024,1.92,18,-1.7,-37.5
2025-03-13,ESH5,TOP,625,87.75,0.95,0.99,27.5,0.35,2.5,0.056,2.45,18,-1.6,-18.75
2025-03-13,ESH5,BOTTOM,829,87.75,0.18,0.18,17.5,0.1,2.75,0.039,0.74,33,-0.05,-20.5
