day,sym,kind,rng,v_in,v_in30,accel,run_len,pre_rng,coil,marginal,retest,v_hi,v_trend,conv,dwell,tod,rev,rev60
2025-02-18,ESH5,BOTTOM,28.25,0.85,0.25,3.4,60,5.0,1.7,0.212,5,7.19,3.31,0.005,2,278,-0.133,-0.319
2025-02-19,ESH5,TOP,35.75,0.25,0.08,3.0,93,12.75,0.2,0.042,5,3.26,0.85,0.376,21,321,-0.147,-0.161
2025-02-21,ESH5,BOTTOM,103.25,0.75,0.73,1.02,114,22.25,0.34,0.029,5,1.19,1.12,0.012,21,312,-0.075,-0.048
2025-02-25,ESH5,BOTTOM,80.25,1.55,0.47,3.32,93,19.0,0.82,0.106,999,1.55,1.44,0.04,8,123,-0.38,-0.502
2025-02-26,ESH5,TOP,76.5,0.45,0.22,2.0,92,12.25,0.37,0.003,5,0.61,0.87,0.143,21,104,-0.072,-0.052
2025-02-26,ESH5,BOTTOM,76.5,0.48,0.72,0.66,73,22.5,0.21,0.0,5,1.35,1.01,0.122,21,278,-0.245,-0.16
2025-02-28,ESH5,BOTTOM,118.25,1.2,0.7,1.71,131,28.5,0.42,0.095,5,1.74,3.51,0.096,20,231,-0.281,-0.195
2025-03-04,ESH5,TOP,126.25,1.75,0.99,1.76,94,16.0,1.09,0.129,999,1.0,1.25,0.108,14,354,-0.679,-0.661
2025-03-04,ESH5,BOTTOM,126.25,1.98,1.46,1.35,41,48.25,0.41,0.087,29,2.14,1.05,0.063,14,52,-0.085,-0.085
2025-03-05,ESH5,TOP,116.5,1.6,0.55,2.91,85,17.0,0.94,0.043,5,0.64,0.76,0.136,21,339,-0.107,-0.142
2025-03-05,ESH5,BOTTOM,116.5,0.68,0.4,1.69,98,25.25,0.27,0.015,5,0.81,0.88,0.04,21,136,-0.294,-0.418
2025-03-06,ESH5,TOP,98.0,0.92,0.09,10.09,70,22.75,0.41,0.01,5,0.89,1.34,0.054,16,101,-0.316,-0.671
2025-03-06,ESH5,BOTTOM,98.0,0.3,0.49,0.61,159,16.5,0.18,0.005,5,0.91,1.2,0.054,20,299,-0.038,-0.245
2025-03-07,ESH5,BOTTOM,114.5,0.95,1.06,0.9,64,38.0,0.25,0.068,5,1.02,0.98,0.036,18,143,-0.116,-0.576
2025-03-10,ESH5,BOTTOM,132.25,1.35,0.91,1.49,107,31.75,0.43,0.1,999,1.37,0.99,0.004,17,341,-0.369,-0.363
