day,sym,kind,orders,fills,filled,top_fills,top_size,conc,rev,v_in,rng,dwell
2025-02-18,ESH5,BOTTOM,902,997,1309,10,20,0.015,-0.133,0.85,28.25,2
2025-02-19,ESH5,TOP,1816,2126,3720,22,50,0.013,-0.147,0.25,35.75,21
2025-02-21,ESH5,BOTTOM,885,1030,1463,13,50,0.034,-0.075,0.75,103.25,21
2025-02-25,ESH5,BOTTOM,474,568,852,12,50,0.059,-0.38,1.55,80.25,8
2025-02-26,ESH5,TOP,2459,2674,3389,13,37,0.011,-0.072,0.45,76.5,21
2025-02-26,ESH5,BOTTOM,707,763,927,7,20,0.022,-0.245,0.48,76.5,21
2025-02-28,ESH5,BOTTOM,1039,1095,1295,6,6,0.005,-0.281,1.2,118.25,20
2025-03-04,ESH5,TOP,360,419,660,19,50,0.076,-0.679,1.75,126.25,14
2025-03-04,ESH5,BOTTOM,536,574,671,7,8,0.012,-0.085,1.98,126.25,14
2025-03-05,ESH5,TOP,637,706,856,10,16,0.019,-0.107,1.6,116.5,21
2025-03-05,ESH5,BOTTOM,161,174,219,5,5,0.023,-0.294,0.68,116.5,21
2025-03-06,ESH5,TOP,690,756,886,11,39,0.044,-0.316,0.92,98.0,16
2025-03-06,ESH5,BOTTOM,926,999,1202,17,70,0.058,-0.038,0.3,98.0,20
2025-03-07,ESH5,BOTTOM,226,243,287,4,5,0.017,-0.116,0.95,114.5,18
2025-03-10,ESH5,BOTTOM,574,656,872,30,125,0.143,-0.369,1.35,132.25,17
2025-03-11,ESH5,TOP,330,346,423,3,3,0.007,-0.336,1.42,101.25,10
2025-03-11,ESH5,BOTTOM,181,193,313,5,10,0.032,-0.215,1.38,101.25,17
2025-03-12,ESH5,BOTTOM,254,272,341,3,3,0.009,-0.436,1.7,86.0,8
2025-03-13,ESH5,TOP,594,685,858,9,20,0.023,-0.214,0.95,87.75,12
2025-03-13,ESH5,BOTTOM,617,710,1094,9,20,0.018,-0.234,0.18,87.75,21
2025-03-17,ESH5,TOP,583,636,852,15,50,0.059,-0.078,0.62,73.5,21
2025-03-18,ESH5,BOTTOM,146,182,276,31,92,0.333,-0.387,0.88,54.25,9
2025-03-19,ESH5,TOP,76,78,96,3,5,0.052,-0.214,1.85,87.5,6
2025-03-20,ESM5,TOP,788,905,1211,8,9,0.007,-0.174,0.57,76.25,17
2025-03-25,ESM5,TOP,1161,1349,1874,13,20,0.011,-0.165,0.25,25.75,15
2025-03-25,ESM5,BOTTOM,460,563,829,10,10,0.012,-0.194,0.25,25.75,11
2025-03-26,ESM5,BOTTOM,390,471,623,18,35,0.056,-0.042,-0.1,90.0,21
2025-03-27,ESM5,TOP,939,1082,1492,10,46,0.031,-0.228,0.48,57.0,20
2025-04-01,ESM5,TOP,529,624,1108,17,32,0.029,-0.263,0.5,91.25,20
2025-04-01,ESM5,BOTTOM,536,593,799,9,18,0.023,-0.499,0.57,91.25,14
2025-04-02,ESM5,TOP,480,578,943,25,104,0.11,-0.218,1.38,124.75,17
2025-04-07,ESM5,TOP,25,27,31,2,2,0.065,-0.597,29.22,409.25,3
2025-04-08,ESM5,TOP,158,161,186,3,3,0.016,-0.096,2.28,359.75,21
2025-04-09,ESM5,BOTTOM,249,282,484,7,20,0.041,-0.096,3.72,532.75,21
2025-04-10,ESM5,BOTTOM,135,145,163,3,4,0.025,-0.377,4.88,230.5,7
2025-04-11,ESM5,TOP,117,123,143,3,4,0.028,-0.189,0.38,154.5,14
2025-04-11,ESM5,BOTTOM,66,100,175,18,50,0.286,-0.202,0.65,154.5,12
2025-04-14,ESM5,BOTTOM,110,116,140,3,4,0.029,-0.212,1.6,99.25,13
2025-04-15,ESM5,BOTTOM,221,236,336,4,25,0.074,-0.339,0.8,62.75,7
2025-04-16,ESM5,TOP,366,398,612,11,20,0.033,-0.184,2.72,145.75,7
2025-04-17,ESM5,TOP,281,323,406,15,20,0.049,-0.208,0.72,69.75,21
2025-04-17,ESM5,BOTTOM,557,624,818,22,83,0.101,-0.43,0.92,69.75,11
2025-04-21,ESM5,BOTTOM,276,307,373,5,6,0.016,-0.093,0.57,132.0,21
2025-04-22,ESM5,TOP,421,468,652,6,20,0.031,-0.137,1.18,98.25,20
2025-04-25,ESM5,TOP,566,670,899,15,15,0.017,-0.464,0.82,70.0,15
2025-04-25,ESM5,BOTTOM,597,661,844,9,23,0.027,-0.304,1.35,70.0,9
2025-04-28,ESM5,BOTTOM,229,236,293,4,5,0.017,-0.324,0.75,84.0,21
2025-04-29,ESM5,TOP,832,975,1360,13,49,0.036,-0.055,0.28,63.25,19
2025-05-01,ESM5,TOP,418,464,640,5,6,0.009,-0.25,0.32,56.0,21
2025-05-02,ESM5,TOP,906,993,1334,7,8,0.006,-0.259,0.52,56.0,21
2025-05-05,ESM5,TOP,668,731,1165,5,5,0.004,-0.293,0.32,47.0,21
2025-05-06,ESM5,TOP,207,284,489,25,50,0.102,-0.477,2.22,59.75,2
2025-05-07,ESM5,BOTTOM,210,215,252,2,2,0.008,-0.47,3.12,66.0,3
2025-05-08,ESM5,TOP,887,999,1547,11,20,0.013,-0.091,0.8,85.0,21
2025-05-08,ESM5,BOTTOM,466,504,663,6,20,0.03,-0.529,1.85,85.0,3
2025-05-09,ESM5,BOTTOM,301,351,443,12,18,0.041,-0.417,1.12,45.0,5
2025-05-12,ESM5,BOTTOM,240,283,428,6,10,0.023,-0.336,1.88,54.25,3
2025-05-13,ESM5,TOP,1155,1310,2163,8,20,0.009,-0.163,0.65,61.5,18
2025-05-14,ESM5,BOTTOM,487,576,836,15,48,0.057,-0.433,1.1,31.75,4
2025-05-15,ESM5,TOP,1335,1496,2002,12,28,0.014,-0.087,0.78,57.75,21
2025-05-16,ESM5,BOTTOM,548,627,801,15,50,0.062,-0.294,1.08,49.25,4
2025-05-19,ESM5,TOP,738,864,1257,17,30,0.024,-0.063,0.68,67.5,18
2025-05-20,ESM5,TOP,1711,1950,2658,27,66,0.025,-0.155,0.85,42.0,8
2025-05-20,ESM5,BOTTOM,697,782,1028,9,25,0.024,-0.512,1.08,42.0,6
2025-05-21,ESM5,TOP,1382,1479,1988,4,6,0.003,-0.434,0.5,107.25,21
2025-05-23,ESM5,TOP,303,327,416,3,4,0.01,-0.135,-0.25,55.75,21
2025-05-27,ESM5,TOP,473,542,744,9,11,0.015,-0.038,0.48,65.5,21
2025-05-29,ESM5,BOTTOM,375,430,626,4,42,0.067,-0.478,2.92,61.25,3
2025-05-30,ESM5,BOTTOM,238,289,375,7,10,0.027,-0.126,2.75,75.5,6
