day,sym,side,fills,sz,lvl,t,thru,rng
2025-02-18,ESH5,A,15,28,6144.0,14:30:09,0.0,28.25
2025-02-18,ESH5,B,24,59,6141.75,14:30:46,0.354,28.25
2025-02-18,ESH5,A,30,105,6142.0,14:30:52,0.071,28.25
2025-02-18,ESH5,B,15,59,6139.5,14:31:30,0.407,28.25
2025-02-18,ESH5,B,44,105,6138.5,14:31:42,0.372,28.25
2025-02-18,ESH5,A,23,82,6139.0,14:31:46,0.142,28.25
2025-02-18,ESH5,A,20,100,6140.25,14:32:09,0.097,28.25
2025-02-18,ESH5,B,34,100,6141.5,14:32:20,0.496,28.25
2025-02-18,ESH5,B,17,100,6140.75,14:34:06,0.469,28.25
2025-02-18,ESH5,B,24,100,6140.0,14:34:43,0.442,28.25
2025-02-18,ESH5,B,22,75,6141.5,14:35:16,0.496,28.25
2025-02-18,ESH5,B,19,25,6137.75,14:37:14,0.363,28.25
2025-02-18,ESH5,B,16,36,6139.25,14:41:04,0.416,28.25
2025-02-18,ESH5,B,20,39,6139.0,14:44:30,0.407,28.25
2025-02-18,ESH5,B,22,50,6140.75,14:41:55,0.469,28.25
2025-02-18,ESH5,B,33,100,6139.25,14:44:30,0.416,28.25
2025-02-18,ESH5,B,17,75,6138.0,14:44:36,0.372,28.25
2025-02-18,ESH5,B,17,25,6135.75,14:44:39,0.292,28.25
2025-02-18,ESH5,B,18,38,6137.25,14:49:50,0.345,28.25
2025-02-18,ESH5,B,19,50,6136.5,14:50:02,0.319,28.25
2025-02-18,ESH5,B,19,50,6134.25,14:50:20,0.239,28.25
2025-02-18,ESH5,B,26,50,6133.75,14:50:35,0.221,28.25
2025-02-18,ESH5,B,16,88,6138.0,14:52:09,0.372,28.25
2025-02-18,ESH5,A,26,105,6138.25,14:52:11,0.088,28.25
2025-02-18,ESH5,B,20,30,6139.0,14:53:01,0.407,28.25
2025-02-18,ESH5,A,24,32,6140.0,14:53:08,0.027,28.25
2025-02-18,ESH5,A,17,49,6139.0,14:54:33,0.062,28.25
2025-02-18,ESH5,B,15,50,6135.0,15:00:14,0.265,28.25
2025-02-18,ESH5,B,16,100,6134.0,15:00:53,0.23,28.25
2025-02-18,ESH5,B,26,130,6130.75,15:01:02,0.115,28.25
2025-02-18,ESH5,A,139,647,6131.0,15:01:02,0.23,28.25
2025-02-18,ESH5,B,16,25,6131.25,15:01:23,0.133,28.25
2025-02-18,ESH5,B,20,61,6131.25,15:01:25,0.133,28.25
2025-02-18,ESH5,B,15,30,6128.0,15:01:51,0.018,28.25
2025-02-18,ESH5,A,16,44,6128.75,15:02:07,0.31,28.25
2025-02-18,ESH5,B,19,54,6131.75,15:03:48,0.133,28.25
2025-02-18,ESH5,A,19,56,6132.75,15:04:30,0.168,28.25
2025-02-18,ESH5,B,19,68,6133.25,15:10:02,0.186,28.25
2025-02-18,ESH5,A,22,42,6134.0,15:11:30,0.124,28.25
2025-02-18,ESH5,A,18,50,6136.5,15:13:28,0.0,28.25
2025-02-18,ESH5,A,15,40,6135.5,15:14:09,0.044,28.25
2025-02-18,ESH5,B,23,61,6133.25,15:25:26,0.186,28.25
2025-02-18,ESH5,B,16,22,6129.5,15:27:46,0.053,28.25
2025-02-18,ESH5,B,36,100,6136.0,15:39:10,0.177,28.25
2025-02-18,ESH5,B,29,125,6135.25,15:39:35,0.15,28.25
2025-02-18,ESH5,B,15,24,6134.5,15:39:37,0.124,28.25
2025-02-18,ESH5,B,51,125,6134.25,15:39:58,0.115,28.25
2025-02-18,ESH5,A,24,125,6135.25,15:40:04,0.204,28.25
2025-02-18,ESH5,A,15,125,6135.0,15:40:29,0.212,28.25
2025-02-18,ESH5,B,16,69,6134.0,15:40:40,0.106,28.25
2025-02-18,ESH5,A,28,125,6134.75,15:40:55,0.221,28.25
2025-02-18,ESH5,A,45,125,6135.0,15:41:01,0.212,28.25
2025-02-18,ESH5,B,17,75,6131.5,15:46:38,0.018,28.25
2025-02-18,ESH5,B,17,30,6131.75,15:47:12,0.018,28.25
2025-02-18,ESH5,B,16,50,6132.0,15:47:13,0.027,28.25
2025-02-18,ESH5,A,16,66,6132.25,15:47:33,0.336,28.25
2025-02-18,ESH5,B,37,100,6133.0,15:49:35,0.018,28.25
2025-02-18,ESH5,B,17,50,6132.75,15:50:08,-0.027,28.25
2025-02-18,ESH5,A,18,125,6139.5,15:55:03,0.08,28.25
2025-02-18,ESH5,A,20,40,6140.0,15:59:25,0.062,28.25
2025-02-18,ESH5,B,57,100,6140.0,16:13:56,0.292,28.25
2025-02-18,ESH5,B,49,100,6140.0,16:14:08,0.292,28.25
2025-02-18,ESH5,B,30,100,6139.25,16:14:29,0.265,28.25
2025-02-18,ESH5,A,24,115,6139.0,16:14:29,0.018,28.25
2025-02-18,ESH5,A,25,57,6138.5,16:18:34,0.097,28.25
2025-02-18,ESH5,A,16,75,6136.75,16:27:13,0.239,28.25
2025-02-18,ESH5,A,22,100,6136.75,16:27:13,0.239,28.25
