day,sym,typ,tod,pace,oneway,deepest,legs,vol_rel,vol_trend,or_rel,gap_rel,thru_pdh,up,extra
2026-07-23,ES,51.75,81,4.02,0.23,0.77,8,1.3,0.93,0.65,1.66,1.72,0,0.5
2026-07-24,ES,57.12,105,3.49,0.76,0.44,4,1.25,1.28,0.42,0.04,0.05,1,0.16
2026-07-27,ES,62.5,50,6.39,0.84,0.27,1,1.34,0.92,0.63,0.92,-0.45,0,0.7
2026-07-29,ES,62.88,55,7.16,0.87,0.24,0,1.53,0.65,0.52,0.03,0.22,0,1.24
2026-07-30,ES,63.25,210,1.5,0.83,0.83,2,1.24,0.83,0.62,0.94,-0.47,1,0.41
2026-07-31,ES,66.5,34,9.72,0.82,0.18,0,1.45,0.82,0.64,0.44,-0.81,0,0.74
2026-08-03,ES,69.88,88,3.51,1.0,0.11,0,1.3,0.88,0.55,0.42,0.95,1,0.45
2026-08-04,ES,73.62,105,2.99,1.0,0.16,0,1.32,1.01,0.29,0.5,1.19,1,0.81
2026-08-05,ES,82.5,389,1.14,0.93,0.29,1,0.96,1.96,0.25,0.58,-1.02,0,0.0
2026-08-13,ES,58.12,52,5.89,1.0,0.16,0,1.26,0.97,0.57,0.31,0.83,1,0.06
2026-08-17,ES,43.25,248,1.54,0.94,0.25,1,0.45,0.85,0.36,0.03,0.53,0,0.17
2026-08-19,ES,40.5,86,3.79,0.42,0.6,5,1.55,0.89,0.51,0.7,0.57,1,0.13
2026-08-21,ES,39.75,141,2.28,0.66,0.35,3,1.28,1.05,0.24,1.06,-1.3,1,0.06
2026-07-23,NQ,280.75,73,4.31,0.19,0.81,7,1.6,0.85,0.66,1.68,1.71,0,0.69
2026-07-24,NQ,341.25,25,12.21,0.74,0.27,1,1.69,0.54,0.82,0.25,0.36,0,0.39
2026-07-27,NQ,401.75,40,7.84,0.94,0.29,1,1.56,0.83,0.63,0.74,-0.13,0,0.78
2026-07-28,NQ,405.5,46,6.9,1.0,0.36,3,1.71,0.86,0.71,0.6,0.86,0,0.32
2026-07-29,NQ,409.25,44,8.75,0.67,0.39,3,1.69,0.99,0.71,0.12,-0.09,0,1.03
2026-07-30,NQ,416.75,57,5.97,0.95,0.23,0,1.44,0.86,0.75,1.25,0.29,1,0.2
2026-07-31,NQ,424.25,18,17.33,0.69,0.31,1,1.82,0.67,0.91,0.87,-1.2,0,0.56
2026-08-03,NQ,439.0,66,4.75,0.98,0.2,0,1.27,0.74,0.62,0.1,-0.0,1,0.58
2026-08-04,NQ,459.5,128,2.43,1.0,0.17,0,1.11,1.17,0.43,0.87,1.55,1,0.6
2026-08-05,NQ,530.88,389,1.12,0.8,0.28,3,0.91,1.63,0.24,0.17,-0.57,0,0.0
2026-08-13,NQ,434.62,58,5.46,0.94,0.11,0,1.43,0.8,0.71,0.09,0.59,1,0.09
2026-08-18,NQ,261.88,87,3.57,0.76,0.55,6,1.54,0.86,0.58,1.43,1.98,0,0.1
2026-08-19,NQ,245.5,18,18.19,0.71,0.29,1,2.13,0.48,1.28,0.35,0.04,0,0.55
2026-08-21,NQ,245.5,129,2.62,0.08,0.92,1,1.24,0.95,0.59,0.39,-1.19,1,0.17
