day,sym,typ,tod,pace,oneway,deepest,legs,vol_rel,vol_trend,or_rel,gap_rel,thru_pdh,up,extra
2025-02-21,ESH5,35.75,57,6.11,0.96,0.25,0,2.36,0.95,0.4,0.27,0.22,0,1.98
2025-02-24,ESH5,40.0,23,13.61,0.79,0.21,0,2.53,0.58,1.02,0.53,0.03,0,0.71
2025-02-25,ESH5,44.25,30,10.24,0.85,0.32,3,2.39,0.67,0.73,0.04,0.6,0,1.0
2025-02-26,ESH5,53.12,91,3.41,1.0,0.29,1,1.42,0.66,0.49,0.16,0.31,1,0.64
2025-02-27,ESH5,62.0,26,11.94,0.86,0.22,0,2.12,0.83,0.88,0.43,-0.13,0,1.27
2025-02-28,ESH5,69.25,226,1.51,0.37,0.91,6,1.36,1.48,0.39,0.03,0.34,0,0.83
2025-03-03,ESH5,76.5,215,1.53,0.81,0.5,10,1.21,1.64,0.59,0.24,-1.05,0,1.37
2025-03-04,ESH5,78.38,46,6.75,0.91,0.28,1,3.02,0.78,0.55,0.59,0.85,0,0.8
2025-03-05,ESH5,91.75,203,1.54,0.44,0.85,6,1.15,0.57,0.36,0.03,-0.52,1,0.47
2025-03-06,ESH5,109.88,199,1.57,0.48,0.73,1,1.27,0.85,0.18,0.7,0.19,0,0.09
2025-03-07,ESH5,109.88,127,2.46,0.52,0.5,5,1.14,0.69,0.4,0.13,0.31,0,0.23
2025-03-10,ESH5,115.5,276,1.16,0.9,0.31,2,0.91,0.94,0.22,0.66,0.54,0,0.32
2025-03-11,ESH5,117.38,322,1.02,0.23,0.94,4,0.93,1.06,0.26,0.09,-0.61,1,0.01
2025-03-19,ESH5,92.88,335,0.94,0.86,0.45,3,0.1,1.21,0.28,0.18,0.51,1,0.13
2025-03-26,ESM5,56.12,138,2.25,0.82,0.27,1,1.22,1.29,0.46,0.0,0.39,0,0.8
2025-03-27,ESM5,64.75,68,4.65,0.58,0.42,1,1.6,0.67,0.5,0.22,-0.91,1,0.06
2025-03-28,ESM5,60.88,45,6.79,0.86,0.34,2,1.85,0.86,0.37,0.29,0.67,0,1.03
2025-04-01,ESM5,64.75,82,3.79,0.45,0.88,1,1.7,0.91,0.34,0.1,-1.16,1,0.6
2025-04-02,ESM5,70.5,54,5.73,1.0,0.32,1,1.71,0.63,0.65,0.87,-0.33,1,0.96
2025-04-03,ESM5,76.25,75,4.41,0.84,0.29,1,2.03,0.91,0.44,2.39,1.85,0,0.48
2025-04-04,ESM5,83.12,42,7.26,1.0,0.74,1,2.66,0.81,0.68,1.6,2.4,0,1.58
2025-04-07,ESM5,90.62,22,16.23,0.34,0.73,1,3.12,0.64,1.46,1.94,-3.76,1,3.56
2025-04-08,ESM5,96.62,101,3.07,0.61,0.87,3,1.29,1.03,0.51,1.8,-3.62,0,2.92
2025-04-09,ESM5,106.75,82,3.8,0.05,0.96,1,1.18,0.82,0.67,0.23,-0.43,0,4.18
2025-04-10,ESM5,118.12,119,2.63,0.97,0.47,4,1.02,0.82,0.36,0.9,-2.62,0,1.14
2025-04-11,ESM5,161.25,250,1.29,0.73,0.57,9,0.66,1.0,0.42,0.04,0.03,1,0.13
2025-04-16,ESM5,176.12,354,0.9,0.82,0.35,1,0.59,1.31,0.2,0.31,0.94,0,0.01
2025-04-23,ESM5,138.88,368,0.85,0.55,0.49,15,1.13,1.34,0.37,0.96,-1.07,0,0.0
2025-04-24,ESM5,121.88,186,1.67,0.94,0.17,0,1.04,1.02,0.31,0.07,0.01,1,0.15
2025-04-30,ESM5,91.12,103,3.02,0.44,0.65,2,1.81,1.03,0.53,0.93,-0.72,1,0.79
2025-05-07,ESM5,66.62,278,1.15,0.57,0.61,8,0.83,2.21,0.28,0.11,0.1,0,0.17
2025-05-08,ESM5,64.62,129,2.54,0.32,0.68,4,1.25,1.43,0.26,0.67,0.66,1,0.47
2025-05-12,ESM5,61.5,306,1.02,0.39,0.61,15,1.1,1.04,0.31,2.64,2.44,1,0.08
2025-05-13,ESM5,57.88,47,6.95,1.0,0.07,0,1.68,0.84,0.43,0.0,0.86,1,0.21
2025-05-15,ESM5,56.0,158,2.0,0.91,0.34,5,1.08,0.95,0.2,0.35,0.15,1,0.21
2025-05-16,ESM5,56.88,321,0.98,0.72,0.46,4,0.77,1.34,0.2,0.02,0.5,1,0.06
2025-05-19,ESM5,56.0,130,2.46,0.96,0.28,4,1.12,0.87,0.46,0.96,-0.18,1,0.38
2025-05-21,ESM5,56.0,228,1.44,0.29,0.72,4,1.01,2.64,0.21,0.67,0.37,0,1.07
2025-05-22,ESM5,56.0,335,0.95,0.76,0.76,11,1.03,0.98,0.45,0.04,-1.14,1,0.04
2025-05-23,ESM5,51.75,227,1.46,0.98,0.42,10,1.19,1.26,0.32,1.36,-1.21,1,0.22
2025-05-27,ESM5,55.0,144,2.15,0.63,0.37,1,1.04,0.94,0.3,1.29,1.32,1,0.39
2025-05-28,ESM5,56.75,382,0.88,0.82,0.38,7,0.89,0.77,0.33,0.1,-0.53,0,0.04
2025-05-29,ESM5,53.62,147,2.47,1.0,0.43,7,1.35,1.19,0.37,0.87,0.02,0,0.21
2025-05-30,ESM5,56.75,179,1.83,0.64,0.68,5,1.14,1.22,0.31,0.37,0.27,0,0.48
