day,sym,kind,rng,v_in,accel,coil,marginal,retest,v_hi,v_trend,conv,dwell,tod,rev
2026-07-15,ES,BOTTOM,51.75,0.35,0.81,0.21,0.0,999,1.25,0.82,0.251,21,191,-0.304
2026-07-16,ES,TOP,62.5,0.1,0.32,0.07,0.0,5,1.34,0.62,0.28,21,75,-0.18
2026-07-20,ES,BOTTOM,70.0,0.57,2.23,0.34,0.1,5,1.82,1.08,0.033,16,345,-0.146
2026-07-21,ES,TOP,46.5,0.5,3.0,1.33,0.065,5,1.04,0.93,0.134,21,205,-0.145
2026-07-22,ES,TOP,33.25,0.25,1.11,0.28,0.06,5,0.69,1.32,0.43,21,169,-0.038
2026-07-23,ES,BOTTOM,69.75,1.27,1.7,0.67,0.136,246,1.41,0.85,0.246,12,121,-0.312
2026-07-24,ES,TOP,63.25,0.57,2.3,0.55,0.051,5,1.23,1.47,0.083,19,161,-0.399
2026-07-27,ES,BOTTOM,95.75,0.38,0.47,0.13,0.023,5,0.92,0.87,0.007,21,228,-0.084
2026-07-29,ES,TOP,132.0,1.85,0.92,0.46,0.17,5,0.95,1.02,0.125,11,324,-0.562
2026-07-30,ES,TOP,77.25,0.72,1.09,0.49,0.11,5,0.97,0.77,0.09,14,348,-0.129
2026-07-30,ES,BOTTOM,77.25,0.75,0.83,0.21,0.003,5,1.37,0.9,0.251,20,105,-0.184
2026-07-31,ES,BOTTOM,107.0,1.8,1.12,0.31,0.21,999,1.6,0.86,0.055,10,46,-0.355
2026-08-03,ES,TOP,87.75,0.48,1.54,0.61,0.023,5,1.11,1.39,0.331,21,332,-0.017
2026-08-06,ES,TOP,40.0,0.35,3.0,0.2,0.081,999,1.07,0.96,0.195,14,48,-0.494
2026-08-06,ES,BOTTOM,40.0,0.3,0.69,0.19,0.038,5,2.45,1.03,0.413,20,166,-0.038
2026-08-07,ES,TOP,41.0,0.7,1.58,0.61,0.128,5,1.14,1.37,0.073,6,116,-0.146
2026-08-10,ES,TOP,29.75,0.6,2.12,0.75,0.101,999,1.21,1.2,0.167,10,78,-0.353
2026-08-10,ES,BOTTOM,29.75,0.8,1.66,0.38,-0.034,8,1.66,1.39,0.099,6,195,-0.378
2026-08-11,ES,TOP,45.5,0.42,2.55,0.77,0.005,5,1.88,1.02,0.274,21,82,-0.28
2026-08-11,ES,BOTTOM,45.5,1.27,2.22,2.22,0.181,11,2.2,1.03,0.232,3,299,-0.132
2026-08-12,ES,BOTTOM,25.5,0.08,1.5,0.06,-0.206,5,3.21,1.44,0.131,15,61,0.098
2026-08-13,ES,TOP,50.0,0.3,0.9,0.15,0.085,5,1.23,0.81,0.019,16,62,-0.285
2026-08-14,ES,BOTTOM,32.75,0.3,2.12,0.75,0.046,5,1.7,0.82,0.434,19,247,-0.153
2026-08-19,ES,TOP,39.5,1.35,2.05,0.7,0.266,5,1.9,1.25,0.215,6,91,-0.335
2026-08-21,ES,TOP,35.5,0.62,0.95,0.33,0.12,999,1.53,0.97,0.016,8,143,-0.437
2026-07-21,NQ,TOP,280.75,1.68,1.69,0.74,0.026,5,0.88,1.02,0.053,21,260,-0.093
2026-07-22,NQ,TOP,211.75,3.18,0.9,0.28,0.109,24,1.15,1.06,0.272,16,117,-0.092
2026-07-23,NQ,BOTTOM,424.25,5.45,1.46,0.45,0.065,12,1.39,0.81,0.262,19,121,-0.298
2026-07-24,NQ,TOP,409.25,7.05,2.96,0.8,0.131,12,1.14,1.25,0.294,11,160,-0.37
2026-07-24,NQ,BOTTOM,409.25,5.25,1.89,1.01,0.106,5,1.09,0.94,0.174,12,346,-0.073
2026-07-27,NQ,BOTTOM,643.25,8.45,0.95,0.32,0.15,5,1.71,1.04,0.028,12,73,-0.256
2026-07-28,NQ,TOP,465.25,2.35,1.02,0.32,0.004,5,0.91,1.28,0.071,16,203,-0.126
2026-07-28,NQ,BOTTOM,465.25,17.05,6.77,0.85,0.105,6,1.61,1.07,0.006,8,46,-0.368
2026-07-29,NQ,TOP,753.5,1.72,0.17,0.06,0.026,999,1.06,0.98,0.039,20,332,-0.504
2026-07-30,NQ,TOP,453.75,5.22,1.32,0.63,0.13,5,1.06,0.9,0.104,12,348,-0.16
2026-07-31,NQ,BOTTOM,596.5,10.0,1.04,0.23,0.219,70,1.76,0.84,0.143,10,46,-0.272
2026-08-03,NQ,TOP,612.5,3.72,1.39,0.95,0.071,5,1.08,0.8,0.066,21,280,-0.112
2026-08-06,NQ,TOP,419.25,11.35,4.08,0.98,0.068,5,1.26,3.04,0.293,6,100,-0.252
2026-08-10,NQ,TOP,156.25,5.32,1.47,0.68,0.37,5,1.94,0.8,0.062,8,45,0.026
2026-08-11,NQ,TOP,255.0,4.72,2.92,1.31,0.054,5,1.76,0.9,0.137,11,82,-0.278
2026-08-11,NQ,BOTTOM,255.0,6.05,2.14,1.67,0.135,5,1.86,1.27,0.134,5,299,-0.153
2026-08-12,NQ,BOTTOM,154.5,4.38,4.34,1.02,0.149,5,1.21,0.87,0.071,5,130,-0.296
