day,sym,hi,at,gain10,push,v_hi,conv,ask_add,ask_cxl,refresh,bid_cxl_after,ask_add_after,drop10
2025-02-19,ESH5,6166.5,19:51,2.5,-2.8,3.26,0.376,6513,7093,2.75,5018,13135,-1.75
2025-02-25,ESH5,6007.75,14:36,4.5,3.1,1.66,0.017,17216,16917,14.68,0,4840,-13.0
2025-02-26,ESH5,6023.75,16:14,4.5,-4.4,0.61,0.143,26447,26082,8.22,1204,12014,-2.75
2025-02-27,ESH5,6007.25,14:37,3.5,1.2,1.33,0.095,10462,10225,13.24,0,2028,-16.25
2025-03-04,ESH5,5875.75,20:24,17.5,13.6,1.0,0.108,3826,3505,5.8,0,1715,-41.75
2025-03-05,ESH5,5869.5,20:09,16.0,20.8,0.64,0.136,5912,5620,6.91,0,2499,-14.25
2025-03-06,ESH5,5821.25,16:11,9.25,13.0,0.89,0.054,6676,6407,7.53,0,1499,-19.25
2025-03-10,ESH5,5711.25,13:44,20.25,27.3,1.84,0.057,5788,5462,13.98,140,5508,-22.0
2025-03-11,ESH5,5643.75,18:54,14.25,-130.7,1.78,0.037,4933,4644,11.66,0,781,-13.0
2025-03-13,ESH5,5603.75,14:25,9.5,21.2,2.45,0.056,4533,4291,5.28,0,895,-16.0
2025-03-17,ESH5,5707.5,18:53,6.25,9.7,1.13,0.094,4624,3988,12.67,2075,6768,-6.5
2025-03-19,ESH5,5718.5,19:10,18.5,13.5,4.69,0.02,5214,4133,54.31,0,3965,-16.75
2025-03-20,ESM5,5765.25,14:48,5.75,4.5,0.75,0.005,11788,12194,11.17,538,4258,-9.25
2025-03-25,ESM5,5837.25,14:52,2.5,11.3,1.87,0.132,9612,9587,6.41,1573,4514,-2.5
2025-03-26,ESM5,5834.5,13:40,8.0,-44.7,1.83,0.065,8441,8321,6.3,1079,4457,-13.75
2025-03-27,ESM5,5779.75,15:01,4.75,4.5,1.03,0.031,16883,16691,11.43,0,8789,-0.75
2025-03-28,ESM5,5731.25,13:39,5.5,3.2,1.64,0.043,13165,12820,8.76,2610,8919,-9.0
2025-04-01,ESM5,5694.75,16:20,5.0,-9.0,1.09,0.1,9357,8986,9.65,868,3087,-27.0
2025-04-02,ESM5,5739.25,17:12,13.75,7.1,1.75,0.071,6830,5681,7.25,0,1600,-13.0
2025-04-07,ESM5,5286.5,14:17,292.25,22.8,4.75,0.064,516,433,,0,116,-211.25
2025-04-08,ESM5,5305.25,14:17,22.75,-11.1,1.91,0.296,18972,19095,111.6,6,2036,-3.75
2025-04-09,ESM5,5520.0,19:52,44.75,10.1,2.59,0.041,2022,1366,8.64,0,3593,-24.75
2025-04-11,ESM5,5418.25,17:54,3.75,-2.7,1.62,0.008,4299,3631,30.06,0,532,-10.25
2025-04-15,ESM5,5485.0,14:13,4.25,3.2,1.94,0.044,5864,5676,10.51,0,429,-27.0
2025-04-16,ESM5,5401.0,15:25,27.25,11.0,2.51,0.13,2278,2056,3.81,0,1837,-5.75
2025-04-17,ESM5,5359.5,18:25,7.25,9.5,1.08,0.006,5619,5449,13.87,0,1447,-2.25
