day,sym,kind,push,conv,typeA,after
2026-07-15,ES,BOTTOM,3.5,0.251,False,-10.25
2026-07-16,ES,TOP,1.0,0.28,False,-8.5
2026-07-20,ES,BOTTOM,5.75,0.033,False,-2.25
2026-07-21,ES,TOP,5.0,0.134,False,-3.25
2026-07-21,ES,BOTTOM,10.0,0.108,False,-5.0
2026-07-22,ES,TOP,2.5,0.43,False,-0.75
2026-07-23,ES,TOP,16.25,0.089,True,-21.5
2026-07-23,ES,BOTTOM,12.75,0.246,False,-18.0
2026-07-24,ES,TOP,5.75,0.083,False,-1.75
2026-07-24,ES,BOTTOM,8.0,0.015,False,-12.25
2026-07-27,ES,BOTTOM,3.75,0.007,False,-5.5
2026-07-29,ES,TOP,18.5,0.125,False,-20.75
2026-07-30,ES,TOP,7.25,0.09,False,-4.5
2026-07-30,ES,BOTTOM,7.5,0.251,False,2.75
2026-07-31,ES,BOTTOM,18.0,0.055,True,-16.75
2026-08-03,ES,TOP,4.75,0.331,False,-2.0
2026-08-04,ES,TOP,6.5,0.032,False,-19.75
2026-08-06,ES,TOP,3.5,0.195,False,-15.0
2026-08-06,ES,BOTTOM,3.0,0.413,False,-2.75
2026-08-07,ES,TOP,7.0,0.073,False,-3.75
2026-08-07,ES,BOTTOM,13.0,0.034,False,-16.25
2026-08-10,ES,TOP,6.0,0.167,False,-11.25
2026-08-10,ES,BOTTOM,8.0,0.099,False,-5.5
2026-08-11,ES,TOP,4.25,0.274,False,-4.75
2026-08-11,ES,BOTTOM,12.75,0.232,False,-5.25
2026-08-12,ES,BOTTOM,0.75,0.131,False,-4.5
2026-08-13,ES,TOP,3.0,0.019,False,-4.25
2026-08-14,ES,TOP,3.0,0.152,False,-5.75
2026-08-14,ES,BOTTOM,3.0,0.434,False,-2.25
2026-08-19,ES,TOP,13.5,0.215,False,-6.5
2026-08-19,ES,BOTTOM,10.0,0.12,False,-14.75
2026-08-20,ES,TOP,5.5,0.288,False,-5.0
2026-08-21,ES,TOP,6.25,0.016,False,-9.25
2026-08-21,ES,BOTTOM,7.0,0.065,False,-5.25
2026-07-20,NQ,TOP,39.25,0.036,False,-121.75
2026-07-21,NQ,TOP,16.75,0.053,False,-12.25
2026-07-21,NQ,BOTTOM,88.5,0.106,False,-60.25
2026-07-22,NQ,TOP,31.75,0.272,False,-35.25
2026-07-23,NQ,TOP,149.25,0.03,True,-103.25
2026-07-23,NQ,BOTTOM,54.5,0.262,False,-71.5
2026-07-24,NQ,TOP,70.5,0.294,False,-44.25
2026-07-24,NQ,BOTTOM,52.5,0.174,False,-6.25
2026-07-27,NQ,BOTTOM,84.5,0.028,False,-124.0
2026-07-28,NQ,TOP,23.5,0.071,False,-36.75
2026-07-28,NQ,BOTTOM,170.5,0.006,True,-80.75
2026-07-29,NQ,TOP,17.25,0.039,False,-154.75
2026-07-30,NQ,TOP,52.25,0.104,False,-37.75
2026-07-31,NQ,BOTTOM,100.0,0.143,False,-82.5
2026-08-03,NQ,TOP,37.25,0.066,False,-35.25
2026-08-04,NQ,TOP,28.75,0.105,False,-86.25
2026-08-05,NQ,TOP,20.5,0.004,False,-31.75
2026-08-06,NQ,TOP,113.5,0.293,False,-85.5
2026-08-07,NQ,BOTTOM,83.25,0.045,False,-100.25
2026-08-10,NQ,TOP,53.25,0.062,False,-31.25
2026-08-11,NQ,TOP,47.25,0.137,False,-17.75
2026-08-11,NQ,BOTTOM,60.5,0.134,False,-19.75
2026-08-12,NQ,BOTTOM,43.75,0.071,False,-14.5
2026-08-13,NQ,TOP,22.5,0.171,False,-25.75
2026-08-14,NQ,TOP,69.0,0.277,False,-45.5
2026-08-14,NQ,BOTTOM,23.5,0.064,False,-3.0
2026-08-17,NQ,TOP,73.25,0.19,False,-16.25
2026-08-18,NQ,BOTTOM,12.75,0.01,False,-15.75
2026-08-19,NQ,BOTTOM,90.5,0.003,False,-33.75
2026-08-20,NQ,TOP,33.0,0.212,False,-13.0
2026-08-20,NQ,BOTTOM,33.25,0.131,False,-16.75
2026-08-21,NQ,TOP,35.0,0.28,False,-51.5
2026-08-21,NQ,BOTTOM,67.75,0.155,False,-54.75
